co_quan,ky_hieu,loai_hinh,loai_truong,ten_tienganh,ten_truong,tinh,website
"Bộ Văn hóa, Thể thao và Du lịch",HVA,Học viện,Công lập,Hue Academy of Music,HỌC VIỆN ÂM NHẠC HUẾ,Thừa Thiên Huế,http://hocvienamnhachue.edu.vn/
Bộ Giáo dục và Đào tạo,E,Đại học,Công lập,The University of Da Nang,ĐẠI HỌC ĐÀ NẴNG,Đà Nẵng,http://www.udn.vn
C,"Vietnam National University, Ho Chi Minh City",Đại học,Công lập,https://vnuhcm.edu.vn/,ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,
Bộ Y tế,YDS,Trường đại học,Công lập,University of Medicine and Pharmacy at Ho Chi Minh City,ĐẠI HỌC Y DƯỢC TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://ump.edu.vn/
Bộ Giáo dục và Đào tạo,D,Đại học,Công lập,Hue University,ĐẠI HỌC HUẾ,Thừa Thiên Huế,https://hueuni.edu.vn/
Bộ Giáo dục và Đào tạo,B,Đại học,Công lập,Thai Nguyen University,ĐẠI HỌC THÁI NGUYÊN,Thái Nguyên,http://www.tnu.edu.vn/
A,"Vietnam National University, Hanoi",Đại học,Công lập,https://www.vnu.edu.vn/,ĐẠI HỌC QUỐC GIA HÀ NỘI,Hà Nội,
"Bộ Văn hóa, Thể thao và Du lịch",NVH,Học viện,Công lập,Viet Nam National Academy of Music,HỌC VIỆN ÂM NHẠC QUỐC GIA VIỆT NAM,Hà Nội,https://www.vnam.edu.vn/
Học viện Chính trị Quốc gia Hồ Chí Minh,HCC,Học viện,Công lập,Academy of Politics - Public Administration Region I,HỌC VIỆN CHÍNH TRỊ KHU VỰC I,Hà Nội,https://hcma1.hcma.vn
Ban Chấp hành Trung ương Đảng cộng sản Việt Nam,HVH,Học viện,Công lập,Ho Chi Minh National Academy of Politics,HỌC VIỆN CHÍNH TRỊ QUỐC GIA HỒ CHÍ MINH,Hà Nội,https://hcma.vn
Học viện Chính trị Quốc gia Hồ Chí Minh,HBT,Học viện,Công lập,Academy of Journalism and Communication,HỌC VIỆN BÁO CHÍ VÀ TUYÊN TRUYỀN,Hà Nội,https://ajc.hcma.vn/
UBND TP. Hồ Chí Minh,HVC,Học viện,Công lập,Ho Chi Minh Cadre Academy,HỌC VIỆN CÁN BỘ THÀNH PHỐ HỒ CHÍ MINH,TP. Hồ Chí Minh,http://www.hocviencanbo.hochiminhcity.gov.vn/
Bộ Kế hoạch và Đầu tư,HCP,Học viện,Công lập,Academy of Policy and Development,HỌC VIỆN CHÍNH SÁCH VÀ PHÁT TRIỂN,Hà Nội,http://apd.edu.vn/
Ủy ban Dân tộc,HVD,Học viện,Công lập,Vietnam Academy for Ethnic Minorities,HỌC VIỆN DÂN TỘC,Hà Nội,https://hvdt.edu.vn/
Bộ Thông tin và Truyền thông,BVH,Học viện,Công lập,Posts and Telecommunications Institute of Technology,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,Hà Nội,https://portal.ptit.edu.vn/
Nước ngoài,FUV,Trường đại học,Nước ngoài,Fulbright University Vietnam,TRƯỜNG ĐẠI HỌC FULBRIGHT VIỆT NAM,TP. Hồ Chí Minh,https://fulbright.edu.vn/
Bộ Giáo dục và Đào tạo,DCG,Trường đại học,Tư thục,Gia Dinh University,TRƯỜNG ĐẠI HỌC GIA ĐỊNH,TP. Hồ Chí Minh,https://giadinh.edu.vn/
Bộ Giáo dục và Đào tạo,GHA,Trường đại học,Công lập,University of Transport and Communications,TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI,Hà Nội,https://www.utc.edu.vn/
Bộ Giáo dục và Đào tạo,NHF,Trường đại học,Công lập,Hanoi University,TRƯỜNG ĐẠI HỌC HÀ NỘI,Hà Nội,https://www.hanu.vn/
Bộ Giao thông vận tải,GTS,Trường đại học,Công lập,Ho Chi Minh City University of Transport,TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://ut.edu.vn/
UBND tỉnh Hà Tĩnh,HHT,Trường đại học,Công lập,Ha Tinh University,TRƯỜNG ĐẠI HỌC HÀ TĨNH,Hà Tĩnh,http://www.htu.edu.vn/
Bộ Giao thông vận tải,HHA,Trường đại học,Công lập,Vietnam Maritime University,TRƯỜNG ĐẠI HỌC HÀNG HẢI VIỆT NAM,Hải Phòng,http://www.vimaru.edu.vn/
UBND tỉnh Ninh Bình,DNB,Trường đại học,Công lập,Hoa Lu University,TRƯỜNG ĐẠI HỌC HOA LƯ,Ninh Bình,http://hluv.edu.vn/
UBND tỉnh Hải Dương,DKT,Trường đại học,Công lập,University of Hai Duong,TRƯỜNG ĐẠI HỌC HẢI DƯƠNG,Hải Dương,http://uhd.edu.vn/
UBND TP. Hải Phòng,THP,Trường đại học,Công lập,Hai Phong University,TRƯỜNG ĐẠI HỌC HẢI PHÒNG,Hải Phòng,https://dhhp.edu.vn/
Bộ Giáo dục và Đào tạo,ETU,Trường đại học,Tư thục,Peace University,TRƯỜNG ĐẠI HỌC HOÀ BÌNH,Hà Nội,http://daihochoabinh.edu.vn/
UBND tỉnh Hải Dương,C21,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,HaiDuong College,Trường Cao đẳng Hải Dương,Hải Dương,https://caodanghaiduong.edu.vn/
Bộ Giáo dục và Đào tạo,HSU,Trường đại học,Tư thục,Hoa Sen University,TRƯỜNG ĐẠI HỌC HOA SEN,TP. Hồ Chí Minh,https://www.hoasen.edu.vn/
UBND tỉnh Sơn La,C14,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Son La Colleege,Trường Cao đẳng Sơn La,Sơn La,http://www.cdsonla.edu.vn/
Bộ Giáo dục và Đào tạo,DHP,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Tư thục,University of Management and Technology Hai Phong,Trường Cao đẳng Đại Việt Sài Gòn,TP. Hồ Chí Minh,https://daivietsaigon.edu.vn/
UBND tỉnh Bắc Giang,C18,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Ngo Gia Tu College Bacgiang,Trường Cao đẳng Ngô Gia Tự Bắc Giang,Bắc Giang,https://cdngogiatubacgiang.edu.vn/
UBND tỉnh Đắk Lắk,C40,Trường cao đẳng sư phạm,Công lập,Dak Lak College of Pedagogy,TRƯỜNG CAO ĐẲNG SƯ PHẠM ĐẮK LẮK,Đắk Lắk,http://www.dlc.edu.vn/
UBND tỉnh Lâm Đồng,C42,Trường cao đẳng sư phạm,Công lập,Da Lat College of Education,TRƯỜNG CAO ĐẲNG SƯ PHẠM ĐÀ LẠT,Lâm Đồng,http://cdspdalat.edu.vn/
UBND tỉnh Bắc Ninh,C19,Trường cao đẳng sư phạm,Công lập,Bac Ninh Teacher Training College,TRƯỜNG CAO ĐẲNG SƯ PHẠM BẮC NINH,Bắc Ninh,http://cdspbacninh.edu.vn/
UBND tỉnh Bà Rịa - Vũng tàu,C52,Trường cao đẳng sư phạm,Công lập,Ba Ria - Vung Tau Teacher Training College,TRƯỜNG CAO ĐẲNG SƯ PHẠM BÀ RỊA-VŨNG TÀU,Bà Rịa - Vũng Tàu,http://www.cdspbrvt.edu.vn/
UBND tỉnh Cao Bằng,C06,Trường cao đẳng sư phạm,Công lập,Cao Bang College of Education,TRƯỜNG CAO ĐẲNG SƯ PHẠM CAO BẰNG,Cao Bằng,https://www.caodangsuphamcaobang.edu.vn/
UBND TP. Hà Nội,C20,Trường cao đẳng sư phạm,Công lập,Ha Tay Teacher Training College,TRƯỜNG CAO ĐẲNG SƯ PHẠM HÀ TÂY,Hà Nội,http://www.cdsphthn.edu.vn/
UBND tỉnh Hà Giang,C05,Trường cao đẳng sư phạm,Công lập,Ha Giang Teacher Training College,TRƯỜNG CAO ĐẲNG SƯ PHẠM HÀ GIANG,Hà Giang,https://cdsphagiang.edu.vn/
UBND tỉnh Điện Biên,C62,Trường cao đẳng sư phạm,Công lập,Dien Bien Teachers’ Training College,TRƯỜNG CAO ĐẲNG SƯ PHẠM ĐIỆN BIÊN,Điện Biên,http://cdspdienbien.edu.vn/
UBND tỉnh Gia Lai,C38,Trường cao đẳng sư phạm,Công lập,Gia Lai Junior College of Education,TRƯỜNG CAO ĐẲNG SƯ PHẠM GIA LAI,Gia Lai,http://cdspgialai.edu.vn/
UBND tỉnh Hoà Bình,C23,Trường cao đẳng sư phạm,Công lập,Hoa Binh Teacher Training College,TRƯỜNG CAO ĐẲNG SƯ PHẠM HOÀ BÌNH,Hoà Bình,https://cdsphoabinh.edu.vn/
QHS,VNU University of Education,Trường đại học,Công lập,http://education.vnu.edu.vn/,TRƯỜNG ĐẠI HỌC GIÁO DỤC - ĐẠI HỌC QUỐC GIA HÀ NỘI,VNU-HCM CEA,Hà Nội
Bộ Giáo dục và Đào tạo,DHH,Trường đại học,Tư thục,Ha Hoa Tien University,TRƯỜNG ĐẠI HỌC HÀ HOA TIÊN,Hà Nam,
UBND tỉnh Quảng Ninh,HLU,Trường đại học,Công lập,Ha Long University,TRƯỜNG ĐẠI HỌC HẠ LONG,Quảng Ninh,https://uhl.edu.vn/
Bộ Giáo dục và Đào tạo,DPD,Trường đại học,Dân lập,Phuong Dong University,TRƯỜNG ĐẠI HỌC DÂN LẬP PHƯƠNG ĐÔNG,Hà Nội,http://phuongdong.edu.vn/
UBND tỉnh Kiên Giang,C54,Trường cao đẳng sư phạm,Công lập,Kien Giang Teacher Training College,TRƯỜNG CAO ĐẲNG SƯ PHẠM KIÊN GIANG,Kiên Giang,https://www.cdspkg.edu.vn/
Tập đoàn Dầu khí Quốc gia Việt Nam,PVU,Trường đại học,Công lập,PetroVietnam University,TRƯỜNG ĐẠI HỌC DẦU KHÍ VIỆT NAM,Bà Rịa - Vũng Tàu,https://www.pvu.edu.vn/
Bộ Giáo dục và Đào tạo,DCL,Trường đại học,Tư thục,Cuu Long University,TRƯỜNG ĐẠI HỌC CỬU LONG,Vĩnh Long,http://mku.edu.vn/
Bộ Giáo dục và Đào tạo,DDT,Trường đại học,Tư thục,Duy Tan University,TRƯỜNG ĐẠI HỌC DUY TÂN,Đà Nẵng,https://duytan.edu.vn/
Bộ Y tế,DKH,Trường đại học,Công lập,Hanoi University of Pharmacy,TRƯỜNG ĐẠI HỌC DƯỢC HÀ NỘI,Hà Nội,http://hup.edu.vn/
Bộ Giáo dục và Đào tạo,TDL,Trường đại học,Công lập,Da Lat University,TRƯỜNG ĐẠI HỌC ĐÀ LẠT,Lâm Đồng,https://dlu.edu.vn/
UBND tỉnh Đồng Nai,DNU,Trường đại học,Công lập,Dong Nai University,TRƯỜNG ĐẠI HỌC ĐỒNG NAI,Đồng Nai,http://www.dnpu.edu.vn/
Bộ Công Thương,DDL,Trường đại học,Công lập,Electric Power University,TRƯỜNG ĐẠI HỌC ĐIỆN LỰC,Hà Nội,https://www.epu.edu.vn/
Bộ Y tế,YDD,Trường đại học,Công lập,Nam Dinh University of Nursing,TRƯỜNG ĐẠI HỌC ĐIỀU DƯỠNG NAM ĐỊNH,Nam Định,https://ndun.edu.vn/
Bộ Giáo dục và Đào tạo,DDD,Trường đại học,Tư thục,Dong Do University,TRƯỜNG ĐẠI HỌC ĐÔNG ĐÔ,Hà Nội,http://www.hdiu.edu.vn/
Bộ Giáo dục và Đào tạo,DDN,Trường đại học,Tư thục,Dai Nam University,TRƯỜNG ĐẠI HỌC ĐẠI NAM,Hà Nội,http://www.dainam.edu.vn/
Bộ Giáo dục và Đào tạo,SPD,Trường đại học,Công lập,Dong Thap University,TRƯỜNG ĐẠI HỌC ĐỒNG THÁP,Đồng Tháp,https://www.dthu.edu.vn/
Bộ Giáo dục và Đào tạo,DAD,Trường đại học,Tư thục,Dong A University,TRƯỜNG ĐẠI HỌC ĐÔNG Á,Đà Nẵng,https://donga.edu.vn/
Viện Hàn lâm Khoa học Xã hội Việt Nam,HXH,Học viện,Công lập,Graduate Academy of Social Sciences,HỌC VIỆN KHOA HỌC XÃ HỘI,Hà Nội,https://gass.edu.vn/
Bộ Giáo dục và Đào tạo,FPT,Trường đại học,Tư thục,FPT University,TRƯỜNG ĐẠI HỌC FPT,Hà Nội,https://daihoc.fpt.edu.vn/
Bộ Giao thông vận tải,HHK,Học viện,Công lập,Viet Nam Aviation Academy,HỌC VIỆN HÀNG KHÔNG VIỆT NAM,TP. Hồ Chí Minh,https://vaa.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",CMH,Học viện,Công lập,Viet Nam Academy of Dance,HỌC VIỆN MÚA VIỆT NAM,Hà Nội,https://www.vnad.edu.vn/
Viện Hàn lâm Khoa học và Công nghệ Việt Nam,HKC,Học viện,Công lập,Vietnam Academy of Science and Technology,HỌC VIỆN KHOA HỌC VÀ CÔNG NGHỆ,Hà Nội,http://gust.edu.vn/
Bộ Khoa học và Công nghệ,V24,Học viện,Công lập,Vietnam Institute of Science Technology and Innovation,"HỌC VIỆN KHOA HỌC, CÔNG NGHỆ VÀ ĐỔI MỚI SÁNG TẠO",Hà Nội,http://visti.gov.vn/
Bộ Nội Vụ,HCH,Học viện,Công lập,National Academy of Public Administration,HỌC VIỆN HÀNH CHÍNH QUỐC GIA,Hà Nội,https://www1.napa.vn/
Toà án nhân dân tối cao,HTA,Học viện,Công lập,Vietnam Court Academy,HỌC VIỆN TOÀ ÁN,Hà Nội,http://hvta.toaan.gov.vn/
Bộ Nông nghiệp và Phát triển nông thôn,HVN,Học viện,Công lập,Vietnam National University of Agriculture,HỌC VIỆN NÔNG NGHIỆP VIỆT NAM,Hà Nội,https://vnua.edu.vn/
Bộ Tài chính,HTC,Học viện,Công lập,Academy of Finance,HỌC VIỆN TÀI CHÍNH,Hà Nội,https://hvtc.edu.vn/
Ngân hàng Nhà nước Việt Nam,NHH,Học viện,Công lập,Banking Academy of Vietnam,HỌC VIỆN NGÂN HÀNG,Hà Nội,https://www.hvnh.edu.vn/
Trung ương Hội Liên hiệp Phụ nữ Việt Nam,HPN,Học viện,Công lập,Vietnam Women's Academy,HỌC VIỆN PHỤ NỮ VIỆT NAM,Hà Nội,http://hvpnvn.edu.vn/
Bộ Ngoại giao,HQT,Học viện,Công lập,Diplomatic Academy of Viet Nam,HỌC VIỆN NGOẠI GIAO,Hà Nội,https://dav.edu.vn
Bộ Giáo dục và Đào tạo,HVQ,Học viện,Công lập,National Institute of Education Management,HỌC VIỆN QUẢN LÝ GIÁO DỤC,Hà Nội,http://naem.edu.vn/
UBND tỉnh Bắc Kạn,C11,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Bac Kan College,Trường Cao đẳng Bắc Kạn,Bắc Kạn,http://cdbk.edu.vn/
UBND tỉnh Bình Định,C37,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,BinhDinh College,Trường Cao đẳng Bình Định,Bình Định,http://www.cdbd.edu.vn/
Bộ Y tế,HYD,Học viện,Công lập,Viet Nam University Of Traditional Medicine & Pharmacy,HỌC VIỆN Y DƯỢC HỌC CỔ TRUYỀN VIỆT NAM,Hà Nội,http://vutm.edu.vn/
UBND tỉnh Bến Tre,C56,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,BenTre College,Trường Cao đẳng Bến Tre,Bến Tre,http://www.cdbt.edu.vn/
Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh,HTN,Học viện,Công lập,Vietnam Youth Academy,HỌC VIỆN THANH THIẾU NIÊN VIỆT NAM,Hà Nội,http://vya.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",NVS,Học viện,Công lập,Ho Chi Minh City Conservatory of Music,NHẠC VIỆN TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,http://hcmcons.vn/
UBND tỉnh Bình Phước,C43,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,BinhPhuoc College,Trường Cao đẳng Bình Phước,Bình Phước,https://cdbp.edu.vn/
Bộ Giáo dục và Đào tạo,DCA,Trường đại học,Tư thục,Chu Van An University,TRƯỜNG ĐẠI HỌC CHU VĂN AN,Hưng Yên,https://cvauni.edu.vn/
UBND tỉnh Bình Thuận,C47,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Binh Thuan Community College,Trường Cao đẳng Cộng đồng Bình Thuận,Bình Thuận,https://btu.edu.vn/
UBND TP. Hà Nội,CHN,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Hanoi Community College,Trường Cao đẳng Cộng đồng Hà Nội,Hà Nội,https://chn.edu.vn/
UBND tỉnh Hậu Giang,D64,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Hau Giang Community College,Trường Cao đẳng Cộng đồng Hậu Giang,Hậu Giang,https://www.hgcc.edu.vn/
UBND tỉnh Cà Mau,D61,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Ca Mau Community College,Trường Cao đẳng Cộng đồng Cà Mau,Cà Mau,https://caodangcongdong.camau.gov.vn/
UBND tỉnh Kon Tum,C36,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,KonTum Community College,Trường Cao đẳng Cộng đồng Kon Tum,Kon Tum,https://ktcc.edu.vn/
UBND tỉnh Hưng Yên,C22,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Hung Yen Community College,Trường Cao đẳng Cộng đồng Hưng Yên,Hưng Yên,https://www.hycc.edu.vn/
UBND tỉnh Cần Thơ,C55,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Can Tho College,Trường Cao đẳng Cần Thơ,Cần Thơ,http://cdct.edu.vn
UBND tỉnh Lai Châu,CLC,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Laichau Community College,Trường Cao đẳng Cộng đồng Lai Châu,TP. Hồ Chí Minh,http://cdcdlaichau.edu.vn/
UBND tỉnh Lạng Sơn,C10,Trường cao đẳng sư phạm,Công lập,Lang Son College of Education,TRƯỜNG CAO ĐẲNG SƯ PHẠM LẠNG SƠN,Lạng Sơn,http://lce.edu.vn/
UBND tỉnh Sóc Trăng,CST,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,SocTrang Community College,Trường Cao đẳng Cộng đồng Sóc Trăng,TP. Hồ Chí Minh,http://www.stcc.edu.vn/
UBND tỉnh Vĩnh Long,D57,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Vinh Long Community College,Trường Cao đẳng Cộng đồng Vĩnh Long,Vĩnh Long,https://www.vlcc.edu.vn/
UBND tỉnh Nam Định,C25,Trường cao đẳng sư phạm,Công lập,Nam Dinh College of Education,TRƯỜNG CAO ĐẲNG SƯ PHẠM NAM ĐỊNH,Nam Định,http://www.cdspnd.edu.vn/
UBND tỉnh Nghệ An,C29,Trường cao đẳng sư phạm,Công lập,Nghe An Teacher Training College,TRƯỜNG CAO ĐẲNG SƯ PHẠM NGHỆ AN,Nghệ An,http://www.cdspna.edu.vn/
Bộ Giáo dục và Đào tạo,CM2,Trường cao đẳng sư phạm,Công lập,Nha Trang - National College of Pedagogy,TRƯỜNG CAO ĐẲNG SƯ PHẠM TRUNG ƯƠNG NHA TRANG,Khánh Hoà,http://sptwnt.edu.vn/
Bộ Giáo dục và Đào tạo,CM1,Trường cao đẳng sư phạm,Công lập,National College of Education,TRƯỜNG CAO ĐẲNG SƯ PHẠM TRUNG ƯƠNG,Hà Nội,http://cdsptw.edu.vn/
UBND tỉnh Thừa Thiên Huế,C33,Trường cao đẳng sư phạm,Công lập,Thua Thien Hue College of Education,TRƯỜNG CAO ĐẲNG SƯ PHẠM THỪA THIÊN HUẾ,Thừa Thiên Huế,https://cdsphue.edu.vn/
UBND tỉnh Thái Bình,C26,Trường cao đẳng sư phạm,Công lập,Thai Binh College of Education,TRƯỜNG CAO ĐẲNG SƯ PHẠM THÁI BÌNH,Thái Bình,http://www.cdsptb.edu.vn/
Bộ Giáo dục và Đào tạo,CM3,Trường cao đẳng sư phạm,Công lập,"National College of Education, Ho Chi Minh City",TRƯỜNG CAO ĐẲNG SƯ PHẠM TRUNG ƯƠNG TP.HỒ CHÍ MINH,TP. Hồ Chí Minh,http://www.cdsptw-tphcm.vn/
UBND tỉnh Vĩnh Long,C57,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Vinh Long College,Trường Cao đẳng Vĩnh Long,Vĩnh Long,http://cdvl.edu.vn/
TAG,VNUHCM - An Giang University,Trường đại học,Công lập,https://www.agu.edu.vn/,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,VNU-HCM CEA,An Giang
UBND tỉnh Yên Bái,C13,Trường cao đẳng sư phạm,Công lập,Yen Bai College of Education,TRƯỜNG CAO ĐẲNG SƯ PHẠM YÊN BÁI,Yên Bái,https://suphamyenbai.edu.vn/
UBND tỉnh Thanh Hoá,HDT,Trường đại học,Công lập,Hong Duc University,TRƯỜNG ĐẠI HỌC HỒNG ĐỨC,Thanh Hóa,http://www.hdu.edu.vn/
UBND tỉnh Vĩnh Phúc,C16,Trường cao đẳng đào tạo ngành Giáo dục mầm non,Công lập,Vinh Phuc College,Trường Cao đẳng Vĩnh Phúc,Vĩnh Phúc,http://caodangvinhphuc.edu.vn/
UBND tỉnh Phú Thọ,THV,Trường đại học,Công lập,Hung Vuong University,TRƯỜNG ĐẠI HỌC HÙNG VƯƠNG,Phú Thọ,https://www.hvu.edu.vn/
Bộ Giáo dục và Đào tạo,DHV,Trường đại học,Tư thục,Hung Vuong University Ho Chi Minh City,TRƯỜNG ĐẠI HỌC HÙNG VƯƠNG - TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://hvuh.edu.vn/
Bộ Giáo dục và Đào tạo,KTD,Trường đại học,Tư thục,Danang Architecture University,TRƯỜNG ĐẠI HỌC KIẾN TRÚC ĐÀ NẴNG,Đà Nẵng,https://dau.edu.vn/
Viện Kiểm sát nhân dân tối cao,DKS,Trường đại học,Công lập,Hanoi Procuratorate University,TRƯỜNG ĐẠI HỌC KIỂM SÁT HÀ NỘI,Hà Nội,https://tks.edu.vn/
Bộ Xây dựng,KTA,Trường đại học,Công lập,Hanoi Achitectural University,TRƯỜNG ĐẠI HỌC KIẾN TRÚC HÀ NỘI,Hà Nội,http://hau.edu.vn/
UBND tỉnh Tây Ninh,C46,Trường cao đẳng sư phạm,Công lập,Tay Ninh College of Education,TRƯỜNG CAO ĐẲNG SƯ PHẠM TÂY NINH,Tây Ninh,http://cdsptayninh.edu.vn/
Bộ Giáo dục và Đào tạo,DQK,Trường đại học,Tư thục,Hanoi University of Business and Technology,TRƯỜNG ĐẠI HỌC KINH DOANH VÀ CÔNG NGHỆ HÀ NỘI,Hà Nội,http://hubt.edu.vn/
Bộ Giáo dục và Đào tạo,TKG,Trường đại học,Công lập,Kien Giang University,TRƯỜNG ĐẠI HỌC KIÊN GIANG,Kiên Giang,https://www.vnkgu.edu.vn/
UBND tỉnh Quảng Trị,C32,Trường cao đẳng sư phạm,Công lập,Quang Tri Teacher Training College,TRƯỜNG CAO ĐẲNG SƯ PHẠM QUẢNG TRỊ,Quảng Trị,http://www.qtttc.edu.vn/
