co_quan,ky_hieu,loai_hinh,loai_truong,ten_tienganh,ten_truong,tinh,website
Bộ Giáo dục và Đào tạo,SPH,Trường đại học,Công lập,Hanoi National University of Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM HÀ NỘI,Hà Nội,https://hnue.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",SKD,Trường đại học,Công lập,Hanoi Academy of Theatre and Cinema,TRƯỜNG ĐẠI HỌC SÂN KHẤU ĐIỆN ẢNH HÀ NỘI,Hà Nội,http://skda.edu.vn/
Bộ Lao động - Thương binh và Xã hội,SKN,Trường đại học,Công lập,Nam Dinh University of Technology Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT NAM ĐỊNH,Nam Định,http://nute.edu.vn/
Bộ Giáo dục và Đào tạo,SPK,Trường đại học,Công lập,HCMC University of Technology and Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,http://hcmute.edu.vn/
Bộ Giáo dục và Đào tạo,SKH,Trường đại học,Công lập,Hung Yen University of Technology and Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT HƯNG YÊN,Hưng Yên,http://utehy.edu.vn/
Bộ Lao động - Thương binh và Xã hội,SKV,Trường đại học,Công lập,Vinh University of Technology Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT VINH,Nghệ An,http://spktvinh.edu.vn/
Bộ Giáo dục và Đào tạo,SP2,Trường đại học,Công lập,Hanoi Pedagogical University 2,TRƯỜNG ĐẠI HỌC SƯ PHẠM HÀ NỘI 2,Vĩnh Phúc,https://www.hpu2.edu.vn/
Bộ Lao động - Thương binh và Xã hội,VLU,Trường đại học,Công lập,Vinh Long University of Technology Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT VĨNH LONG,Vĩnh Long,http://vlute.edu.vn/
Bộ Giáo dục và Đào tạo,GNT,Trường đại học,Công lập,National University of Arts Education - NUAE,TRƯỜNG ĐẠI HỌC SƯ PHẠM NGHỆ THUẬT TRUNG ƯƠNG,Hà Nội,http://www.spnttw.edu.vn/
Bộ Giáo dục và Đào tạo,STS,Trường đại học,Công lập,Ho Chi Minh City University of Physical Education and Sports,TRƯỜNG ĐẠI HỌC SƯ PHẠM THỂ DỤC THỂ THAO TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://upes.edu.vn/
Bộ Tài chính,DKQ,Trường đại học,Công lập,University of Finance – Accounting,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - KẾ TOÁN,Quảng Ngãi,http://tckt.edu.vn/
Bộ Giáo dục và Đào tạo,DTS,Trường đại học,Công lập,University of Education - Thai Nguyen University,"TRƯỜNG ĐẠI HỌC SƯ PHẠM, ĐẠI HỌC THÁI NGUYÊN",Thái Nguyên,http://tnue.edu.vn/
Bộ Giáo dục và Đào tạo,DDS,Trường đại học,Công lập,University of Science and Education - The University of Da Nang,"TRƯỜNG ĐẠI HỌC SƯ PHẠM, ĐẠI HỌC ĐÀ NẴNG",Đà Nẵng,https://ued.udn.vn/
Bộ Giáo dục và Đào tạo,DHS,Trường đại học,Công lập,"University of Education, Hue University","TRƯỜNG ĐẠI HỌC SƯ PHẠM, ĐẠI HỌC HUẾ",Thừa Thiên Huế,http://www.dhsphue.edu.vn/
Bộ Giáo dục và Đào tạo,SPS,Trường đại học,Công lập,Ho Chi Minh City University of Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://hcmue.edu.vn/
Bộ Giáo dục và Đào tạo,DQT,Trường đại học,Tư thục,Quang Trung University,TRƯỜNG ĐẠI HỌC QUANG TRUNG,Bình Định,https://qtu.edu.vn
Bộ Tài nguyên và Môi trường,DMT,Trường đại học,Công lập,Hanoi University of Natural Resource and Environment,TRƯỜNG ĐẠI HỌC TÀI NGUYÊN VÀ MÔI TRƯỜNG HÀ NỘI,Hà Nội,https://www.hunre.edu.vn/
Bộ Giáo dục và Đào tạo,FBU,Trường đại học,Tư thục,Hanoi Financial and Banking University,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - NGÂN HÀNG HÀ NỘI,Hà Nội,https://fbu.edu.vn/
Bộ Tài chính,DMS,Trường đại học,Công lập,University of Finance – Marketing,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - MARKETING,TP. Hồ Chí Minh,https://ufm.edu.vn/
Bộ Tài nguyên và Môi trường,DTM,Trường đại học,Công lập,Ho Chi Minh City University for Natural Resources and Environment,TRƯỜNG ĐẠI HỌC TÀI NGUYÊN VÀ MÔI TRƯỜNG TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,http://www.hcmunre.edu.vn/
Bộ Giáo dục và Đào tạo,TTU,Trường đại học,Tư thục,Tan Tao University,TRƯỜNG ĐẠI HỌC TÂN TẠO,Long An,https://ttu.edu.vn/
Bộ Tài chính,DFA,Trường đại học,Công lập,The University of Finance and Business Administration,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - QUẢN TRỊ KINH DOANH,Hưng Yên,http://tcqtkd.edu.vn/
Bộ Giáo dục và Đào tạo,DTD,Trường đại học,Tư thục,Tay Do University,TRƯỜNG ĐẠI HỌC TÂY ĐÔ,Cần Thơ,https://tdu.edu.vn/
Bộ Giáo dục và Đào tạo,TTB,Trường đại học,Công lập,Tay Bac Universty,TRƯỜNG ĐẠI HỌC TÂY BẮC,Sơn La,https://utb.edu.vn/
Bộ Giáo dục và Đào tạo,TTQ,Trường đại học,Tư thục,The SaiGon International Univeristy,TRƯỜNG ĐẠI HỌC TƯ THỤC QUỐC TẾ SÀI GÒN,TP. Hồ Chí Minh,https://www.siu.edu.vn/
Bộ Giáo dục và Đào tạo,TTN,Trường đại học,Công lập,Tay Nguyen University,TRƯỜNG ĐẠI HỌC TÂY NGUYÊN,Đắk Lắk,https://www.ttn.edu.vn/
UBND tỉnh Tiền Giang,TTG,Trường đại học,Công lập,Tien Giang University,TRƯỜNG ĐẠI HỌC TIỀN GIANG,Tiền Giang,http://www.tgu.edu.vn/
Tổng Liên đoàn Lao động Việt Nam,DTT,Trường đại học,Công lập,Ton Duc Thang University,TRƯỜNG ĐẠI HỌC TÔN ĐỨC THẮNG,TP. Hồ Chí Minh,https://www.tdtu.edu.vn/
UBND tỉnh Tuyên Quang,TQU,Trường đại học,Công lập,Tan Trao University,TRƯỜNG ĐẠI HỌC TÂN TRÀO,Tuyên Quang,https://daihoctantrao.edu.vn/
UBND tỉnh Thái Bình,DTB,Trường đại học,Công lập,Thai Binh University,TRƯỜNG ĐẠI HỌC THÁI BÌNH,Thái Bình,http://tbu.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",TTD,Trường đại học,Công lập,Da Nang University of Physical Education and Sports,TRƯỜNG ĐẠI HỌC THỂ DỤC THỂ THAO ĐÀ NẴNG,Đà Nẵng,https://upes3.edu.vn/
Bộ Giáo dục và Đào tạo,TDD,Trường đại học,Tư thục,Thanh Do University,TRƯỜNG ĐẠI HỌC THÀNH ĐÔ,Hà Nội,https://www.thanhdo.edu.vn/
Bộ Giáo dục và Đào tạo,TBD,Trường đại học,Tư thục,Pacific Ocean University,TRƯỜNG ĐẠI HỌC THÁI BÌNH DƯƠNG,Khánh Hoà,https://tbd.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",TDB,Trường đại học,Công lập,Bac Ninh Sport University of Viet Nam,TRƯỜNG ĐẠI HỌC THỂ DỤC THỂ THAO BẮC NINH,Bắc Ninh,http://upes1.edu.vn/
Bộ Giáo dục và Đào tạo,TDH,Trường đại học,Công lập,Hanoi University of Physical Education and Sports,TRƯỜNG ĐẠI HỌC SƯ PHẠM THỂ DỤC THỂ THAO HÀ NỘI,Hà Nội,https://hupes.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",TDS,Trường đại học,Công lập,Ho Chi Minh City University of Physical Education and Sports,TRƯỜNG ĐẠI HỌC THỂ DỤC THỂ THAO TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,http://ush.edu.vn/
UBND tỉnh Bình Dương,TDM,Trường đại học,Công lập,Thu Dau Mot University,TRƯỜNG ĐẠI HỌC THỦ DẦU MỘT,Bình Dương,https://tdmu.edu.vn/
UBND TP. Hà Nội,HNM,Trường đại học,Công lập,Hanoi Metropolitan Univerisity,TRƯỜNG ĐẠI HỌC THỦ ĐÔ HÀ NỘI,Hà Nội,https://hnmu.edu.vn/
Bộ Giáo dục và Đào tạo,TMA,Trường đại học,Công lập,Thuongmai University,TRƯỜNG ĐẠI HỌC THƯƠNG MẠI,Hà Nội,https://tmu.edu.vn/
Bộ Nông nghiệp và Phát triển nông thôn,TLA,Trường đại học,Công lập,Water Resources University,TRƯỜNG ĐẠI HỌC THUỶ LỢI,Hà Nội,http://www.tlu.edu.vn/
Bộ Giáo dục và Đào tạo,DVH,Trường đại học,Tư thục,Van Hien University,TRƯỜNG ĐẠI HỌC VĂN HIẾN,TP. Hồ Chí Minh,https://vhu.edu.vn/
UBND tỉnh Trà Vinh,DVT,Trường đại học,Công lập,Tra Vinh University,TRƯỜNG ĐẠI HỌC TRÀ VINH,Trà Vinh,https://www.tvu.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",VHS,Trường đại học,Công lập,Ho Chi Minh City University of Culture,TRƯỜNG ĐẠI HỌC VĂN HOÁ TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://www.hcmuc.edu.vn/
UBND tỉnh Thanh Hoá,DVD,Trường đại học,Công lập,"Thanh Hoa University of Culture, Sports and Tourism","TRƯỜNG ĐẠI HỌC VĂN HOÁ, THỂ THAO VÀ DU LỊCH THANH HOÁ",Thanh Hóa,http://www.dvtdt.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",VHH,Trường đại học,Công lập,Hanoi University of Culture,TRƯỜNG ĐẠI HỌC VĂN HOÁ HÀ NỘI,Hà Nội,https://huc.edu.vn/
Bộ Giáo dục và Đào tạo,DVP,Trường đại học,Tư thục,Trung Vuong University,TRƯỜNG ĐẠI HỌC TRƯNG VƯƠNG,Vĩnh Phúc,http://dhtv.edu.vn/
VJU,VNU Vietnam - Japan University,Trường đại học,Công lập,http://vju.ac.vn/,TRƯỜNG ĐẠI HỌC VIỆT NHẬT - ĐẠI HỌC QUỐC GIA HÀ NỘI,Hà Nội,
Bộ Giáo dục và Đào tạo,TDV,Trường đại học,Công lập,Vinh University,TRƯỜNG ĐẠI HỌC VINH,Nghệ An,http://vinhuni.edu.vn/
Bộ Giáo dục và Đào tạo,DVL,Trường đại học,Tư thục,Van Lang University,TRƯỜNG ĐẠI HỌC VĂN LANG,TP. Hồ Chí Minh,https://www.vanlanguni.edu.vn/
Bộ Giáo dục và Đào tạo,VGU,Trường đại học,Công lập,Vietnamese - German University,TRƯỜNG ĐẠI HỌC VIỆT ĐỨC,Bình Dương,https://vgu.edu.vn/vi/home
Bộ Giáo dục và Đào tạo,VIN,Trường đại học,Tư thục,VinUniversity,TRƯỜNG ĐẠI HỌC VINUNI,Hà Nội,https://vinuni.edu.vn/
Bộ Giáo dục và Đào tạo,VTT,Trường đại học,Tư thục,Vo Truong Toan University,TRƯỜNG ĐẠI HỌC VÕ TRƯỜNG TOẢN,Hậu Giang,http://www.vttu.edu.vn/
Bộ Xây dựng,XDT,Trường đại học,Công lập,MienTrung University of Civil Engineering,TRƯỜNG ĐẠI HỌC XÂY DỰNG MIỀN TRUNG,Phú Yên,http://muce.edu.vn/
Bộ Giáo dục và Đào tạo,BMU,Trường đại học,Tư thục,Buon Ma Thuot University,TRƯỜNG ĐẠI HỌC Y DƯỢC BUÔN MA THUỘT (BUÔN MA THUỘT),Đắk Lắk,https://bmtu.edu.vn/
QHY,VNU University of Medicine and Pharmacy,Trường đại học,Công lập,http://ump.vnu.edu.vn/,TRƯỜNG ĐẠI HỌC Y DƯỢC - ĐẠI HỌC QUỐC GIA HÀ NỘI,Hà Nội,
Bộ Giáo dục và Đào tạo,XDA,Trường đại học,Công lập,Hanoi University of Civil Engineering,TRƯỜNG ĐẠI HỌC XÂY DỰNG HÀ NỘI,Hà Nội,https://www.nuce.edu.vn/
Bộ Xây dựng,MTU,Trường đại học,Công lập,Mien Tay Construction University,TRƯỜNG ĐẠI HỌC XÂY DỰNG MIỀN TÂY,Vĩnh Long,http://www.mtu.edu.vn/
Bộ Y tế,YCT,Trường đại học,Công lập,Can Tho University of Medicine - Pharmacy,TRƯỜNG ĐẠI HỌC Y DƯỢC CẦN THƠ,Cần Thơ,http://www.ctump.edu.vn/
Bộ Giáo dục và Đào tạo,DDB,Trường đại học,Tư thục,Thanh Dong University,TRƯỜNG ĐẠI HỌC THÀNH ĐÔNG,Hải Dương,https://thanhdong.edu.vn/
Bộ Giáo dục và Đào tạo,DTL,Trường đại học,Tư thục,Thang Long University,TRƯỜNG ĐẠI HỌC THĂNG LONG,Hà Nội,https://thanglong.edu.vn/
Bộ Y tế,YTB,Trường đại học,Công lập,Thai Binh Medical University,TRƯỜNG ĐẠI HỌC Y DƯỢC THÁI BÌNH,Thái Bình,http://tbump.edu.vn/
Bộ Y tế,YHB,Trường đại học,Công lập,Hanoi Medical University,TRƯỜNG ĐẠI HỌC Y HÀ NỘI,Hà Nội,https://hmu.edu.vn/
Bộ Giáo dục và Đào tạo,DHY,Trường đại học,Công lập,"University of Medicine and Pharmacy, Hue University","TRƯỜNG ĐẠI HỌC Y DƯỢC, ĐẠI HỌC HUẾ",Thừa Thiên Huế,https://huemed-univ.edu.vn/
Bộ Y tế,YPB,Trường đại học,Công lập,Hai Phong Medical University,TRƯỜNG ĐẠI HỌC Y DƯỢC HẢI PHÒNG,Hải Phòng,http://hpmu.edu.vn/hpmu/
UBND TP. Hồ Chí Minh,TYS,Trường đại học,Công lập,Pham Ngoc Thach University of Medicine,TRƯỜNG ĐẠI HỌC Y KHOA PHẠM NGỌC THẠCH,TP. Hồ Chí Minh,https://www.pnt.edu.vn/
Bộ Giáo dục và Đào tạo,DTY,Trường đại học,Công lập,University of Medicine and Pharmacy - Thai Nguyen University,"TRƯỜNG ĐẠI HỌC Y DƯỢC, ĐẠI HỌC THÁI NGUYÊN",Thái Nguyên,http://tump.edu.vn/
Nước ngoài,THU,Trường đại học,Nước ngoài,Tokyo Human Health Sciences University Vietnam,TRƯỜNG ĐẠI HỌC Y KHOA TOKYO VIỆT NAM,Hưng Yên,https://tokyo-human.edu.vn/
UBND tỉnh Nghệ An,YKV,Trường đại học,Công lập,Vinh Medical University,TRƯỜNG ĐẠI HỌC Y KHOA VINH,Nghệ An,http://www.vmu.edu.vn/
Bộ Giáo dục và Đào tạo,DYD,Trường đại học,Tư thục,Yersin University,TRƯỜNG ĐẠI HỌC YERSIN ĐÀ LẠT,Lâm Đồng,https://yersin.edu.vn/
Bộ Giáo dục và Đào tạo,DDQ,Trường đại học,Công lập,University of Economics - The University of Da Nang,"TRƯỜNG ĐẠI HỌC KINH TẾ, ĐẠI HỌC ĐÀ NẴNG",Đà Nẵng,https://due.udn.vn
Bộ Y tế,YTC,Trường đại học,Công lập,Hanoi University of Public Health,TRƯỜNG ĐẠI HỌC Y TẾ CÔNG CỘNG,Hà Nội,https://huph.edu.vn/
Bộ Giáo dục và Đào tạo,DDF,Trường đại học,Công lập,University of Foreign Language Studies - The University of Da Nang,"TRƯỜNG ĐẠI HỌC NGOẠI NGỮ, ĐẠI HỌC ĐÀ NẴNG",Đà Nẵng,http://ufl.udn.vn/
Bộ Giáo dục và Đào tạo,DDC,Trường đại học,Công lập,University of Technology and Education - The University of Da Nang,"TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT, ĐẠI HỌC ĐÀ NẴNG",Đà Nẵng,https://ute.udn.vn/
Bộ Công Thương,V08,Viện nghiên cứu,Công lập,Food Industry Research Institute,Viện Công nghiệp thực phẩm,Hà Nội,https://firi.vn/
Bộ Nông nghiệp và Phát triển nông thôn,VCD,Viện nghiên cứu,Công lập,Vietnam Institute Of Agricultural Engineering And Post-Harvest Technology,Viện Cơ điện Nông nghiệp và Công nghệ sau thu hoạch,Hà Nội,http://www.viaep.org.vn/
Bộ Nông nghiệp và Phát triển nông thôn,VCN,Viện nghiên cứu,Công lập,National Institute of Animal Sciences,Viện Chăn nuôi,Hà Nội,http://vcn.mard.gov.vn/
Tập đoàn Dầu khí Quốc gia Việt Nam,VDK,Viện nghiên cứu,Công lập,Vietnam Petroleum Institute - VPI,Viện Dầu khí Việt Nam,Hà Nội,http://www.vpi.pvn.vn/
Bộ Kế hoạch và Đầu tư,V19,Viện nghiên cứu,Công lập,Vietnam Institute for Development Strategies,Viện Chiến lược phát triển,Hà Nội,http://vids.mpi.gov.vn/
Bộ Y tế,V66,Viện nghiên cứu,Công lập,National Institute of Nutrition,Viện Dinh dưỡng,Hà Nội,http://viendinhduong.vn/
Bộ Y tế,V22,Viện nghiên cứu,Công lập,National Institute of Medical Materials,Viện Dược liệu,Hà Nội,http://vienduoclieu.org.vn/
Bộ Công Thương,V11,Viện nghiên cứu,Công lập,Vietnam Institute of Industry Chemistry,Viện Hoá học công nghiệp,Hà Nội,http://viic.vn/
Bộ Y tế,NQC,Viện nghiên cứu,Công lập,National Institute of Drug Quality Control,Viện Kiểm nghiệm thuốc Trung ương,Hà Nội,https://nidqc.gov.vn/
Bộ Xây dựng,V12,Viện nghiên cứu,Công lập,Vietnam Institute of Architecture,Viện Kiến trúc Quốc gia,Hà Nội,http://vienkientrucquocgia.gov.vn/
Bộ Xây dựng,V14,Viện nghiên cứu,Công lập,Vietnam Institute for Building Science and Technology,Viện Khoa học công nghệ xây dựng,Hà Nội,http://www.ibst.vn/
Bộ Giáo dục và Đào tạo,V46,Viện nghiên cứu,Công lập,The Vietnam National Institute of Education Sciences,Viện Khoa học Giáo dục Việt nam,Hà Nội,http://www.vnies.edu.vn/
Bộ Tài nguyên và Môi trường,V47,Viện nghiên cứu,Công lập,Vietnam Institute of Geosciences and Mineral Resources,Viện Khoa học Địa chất và Khoáng sản,Hà Nội,https://vigmr.vn
Bộ Tài nguyên và Môi trường,V50,Viện nghiên cứu,Công lập,"Vietnam Institute of Meteorology, Hydrology and Climate Change",Viện Khoa học Khí tượng Thủy văn và Biến đổi khí hậu,Hà Nội,http://www.imh.ac.vn/
Bộ Tài nguyên và Môi trường,KBD,Viện nghiên cứu,Công lập,Vietnam Institute of Geodesy and Cartography,Viện Khoa học Đo đạc và Bản đồ,Hà Nội,http://www.vigac.vn/
Bộ Nông nghiệp và Phát triển nông thôn,VLN,Viện nghiên cứu,Công lập,Vietnamese Academy of Forest Sciences,Viện Khoa học Lâm nghiệp Việt Nam,Hà Nội,http://vafs.gov.vn/
"Bộ Văn hóa, Thể thao và Du lịch",VKT,Viện nghiên cứu,Công lập,Vietnam Sport Science Institute,Viện Khoa học Thể dục thể thao,Hà Nội,http://vkhtdtt.vn/
Bộ Nông nghiệp và Phát triển nông thôn,VTL,Viện nghiên cứu,Công lập,Vietnam Academy for Water Resources,Viện Khoa học Thuỷ lợi Việt Nam,Hà Nội,http://www.vawr.org.vn/
Bộ Công Thương,V02,Viện nghiên cứu,Công lập,"Vietnam Research Institute of Electronics, Informatics and Automation","Viện Nghiên cứu Điện tử, Tin học, Tự động hoá",Hà Nội,https://www.vielina.com/
Bộ Công Thương,V17,Viện nghiên cứu,Công lập,Viet Nam Institute of Industrial and Trade Policy and Strategy - VIOIT,"Viện Nghiên cứu Chiến lược, Chính sách Công Thương",Hà Nội,http://www.viennghiencuuthuongmai.com.vn/
Bộ Giao thông vận tải,V13,Viện nghiên cứu,Công lập,Institute of Transport Science and Technology,Viện Khoa học và Công nghệ Giao thông vận tải,Hà Nội,http://itst.gov.vn/
Bộ Công Thương,V49,Viện nghiên cứu,Công lập,National Research Institute Of Mechanical Engineering,Viện Nghiên cứu Cơ khí,Hà Nội,http://narime.gov.vn
Bộ Công Thương,V48,Viện nghiên cứu,Công lập,Industrial Machinery And Instruments Holding,Viện Máy và Dụng cụ công nghiệp,Hà Nội,http://imi-holding.com/
Bộ Khoa học và Công nghệ,V04,Viện nghiên cứu,Công lập,Vietnam Atomic Energy Institute,Viện Năng lượng nguyên tử Việt Nam,Hà Nội,http://www.vaec.gov.vn/
Bộ Nông nghiệp và Phát triển nông thôn,V62,Viện nghiên cứu,Công lập,Research Institute for Marine Fisheries,Viện Nghiên cứu hải sản,Hải Phòng,http://rimf.org.vn/
Bộ Y tế,VYL,Viện nghiên cứu,Công lập,National Institute of Occupational and Environmental Health,Viện Sức khoẻ nghề nghiệp và môi trường,Hà Nội,http://www.nioeh.org.vn/
Bộ Nông nghiệp và Phát triển nông thôn,VTY,Viện nghiên cứu,Công lập,National Institute of Veterinary Research,Viện Thú y,Hà Nội,http://vienthuy.gov.vn
Bộ Y tế,V25,Viện nghiên cứu,Công lập,National Instutte of Malariology Parasitology and Entomology,Viện Sốt rét - Ký sinh trùng - Côn trùng Trung ương,Hà Nội,http://nimpe.vn/
Bộ Nông nghiệp và Phát triển nông thôn,VTS,Viện nghiên cứu,Công lập,Research Institute for Aquaculture No1,Viện Nghiên cứu Nuôi trồng thuỷ sản I,Bắc Ninh,http://ria1.org
Viện Hàn lâm Khoa học và Công nghệ Việt Nam,V59,Viện nghiên cứu,Công lập,Institute of Mathematics,Viện Toán học,Hà Nội,http://math.ac.vn/
Bộ Kế hoạch và Đầu tư,V18,Viện nghiên cứu,Công lập,Central Institute for Economic Management (CIEM),Viện Nghiên cứu quản lý kinh tế Trung ương,Hà Nội,http://www.ciem.org.vn/
Bộ Khoa học và Công nghệ,VUD,Viện nghiên cứu,Công lập,National Center for Technology Progress,Viện Ứng dụng Công nghệ,Hà Nội,http://nacentech.vn/
"Bộ Văn hóa, Thể thao và Du lịch",V45,Viện nghiên cứu,Công lập,Vietnam National Institute of Culture and Arts Studies,Viện Văn hoá Nghệ thuật quốc gia Việt Nam,Hà Nội,www.vicas.org.vn
Bộ Y tế,V27,Viện nghiên cứu,Công lập,National Institute of Hygiene and Epidemiology,Viện Vệ sinh Dịch tễ Trung ương,Hà Nội,https://nihe.org.vn/
Bộ Nông nghiệp và Phát triển nông thôn,VKN,Viện nghiên cứu,Công lập,Vietnam Academy of Agriculture Sciences,Viện Khoa học Nông nghiệp Việt Nam,Hà Nội,https://vaas.vn/
Bộ Y tế,V26,Viện nghiên cứu,Công lập,Pasteur Institute in Ho Chi Minh City,Viện Pasteur Thành phố Hồ Chí Minh,TP. Hồ Chí Minh,http://www.pasteurhcm.gov.vn/
