company_name,mst,company_representative,address
CHI NHÁNH CÔNG TY TNHH THỦY SẢN TOÀN THÀNH,0310969732-001,TRẦN VĂN BÙI ," 451/14Bis Tô Hiến Thành, Phường 14, Quận 10, Thành phố Hồ Chí Minh, Việt Nam"
XƯỞNG SẢN XUẤT - CÔNG TY TNHH THUỐC THỦY SẢN NĂM CON ĐƯỜNG,4200713340-001,HỒNG NHẬT TIẾN," Thôn Vĩnh Phú, Xã Suối Tân, Huyện Cam Lâm, Tỉnh Khánh Hòa, Việt Nam"
"PHÒNG CHẨN TRỊ YHCT, MASAGE VẬT LÝ TRỊ LIỆU THIÊN THAI - CHI NHÁNH THƯƠNG MẠI VÀ DỊCH VỤ THIÊN THAI - CÔNG TY CỔ PHẦN T.H.I",0401373591-003,ĐOÀN THỊ THANH THỦY," Tầng 3, Số nhà 07- Quang Trung, Phường Thạch Thang, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam"
PHÒNG GIAO DỊCH SỐ 02 - CÔNG TY CỔ PHẦN T.H.I,0401373591-002,ĐOÀN THỊ THANH THỦY," Lô 284-285 Khu B2-4 Khu tái định cư An Đồn, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN BIO - INNOVA,1801584831-001,LÊ HỒNG PHONG," Số 268 Cao Thắng, Khóm 6, Phường 8, Thành phố Sóc Trăng, Tỉnh Sóc Trăng, Việt Nam"
CHI NHÁNH TẠI MIỀN NAM - CÔNG TY TRÁCH NHIỆM HỮU HẠN DƯỢC PHẨM HẠNH THÁI,0200404031-002,"TẠ GIA PHÚC (HSIEH, CHIA - FU)"," Số 12, Đường Nguyễn Sơn, Phường Phú Thọ Hoà, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI DƯỢC PHẨM Á ĐÔNG,0108171307,Nguyễn Thế Hoàng," Số 27, ngách 378/91 phố Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM 3/2,0302408317,HIROKI KATO ," 601 Cách Mạng Tháng Tám, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH ĐẦU TƯ LÀNG XƯA,0108187392,Phạm Hữu Toàn," Số 12 ngõ 96 phố Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH KỸ THUẬT DINH DƯỠNG ÚC CHÂU,0305134449-001,LÊ VIẾT THÔNG," Thửa đất số 828, tờ bản đồ số 37, khu phố Phú Hòa, Phường Hòa Lợi, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam"
CỬA HÀNG GIỚI THIỆU SẢN PHẨM - CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐÔNG DƯỢC PHÚC QUÝ HIỂN,0800737603-002,LÊ HỒNG SÁU," Số nhà 18, phố Bùi Thị Xuân, Phường Lê Thanh Nghị, Thành phố Hải Dương, Tỉnh Hải Dương, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC THIẾT BỊ Y TẾ HÀ GIANG,5100102861,HOÀNG THỊ MAI.LÝ ANH THỊNH," Số 344, đường Nguyễn Trãi, tổ 10, Phường Nguyễn Trãi, Thành Phố Hà Giang, Tỉnh Hà Giang, Việt Nam"
CÔNG TY TNHH XUẤT NHẬP KHẨU SHRIMPTECH,0317536110,HUỲNH TIẾN KHƯƠNG," 257/50/18 Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
NHÀ MÁY SẢN XUẤT CÔNG TY TNHH DƯỢC PHẨM THIÊN ÂN,0101149648-002,Ngô Trọng Đức," Lô II-8.3 khu công nghiệp Quế Võ 2, Xã Ngọc Xá, Thị xã Quế Võ, Tỉnh Bắc Ninh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH DƯỢC PHẨM SHINPOONG DAEWOO,3600275957-005,PHƯƠNG THÚY LINH," Phòng B102 nhà số 2 ngõ 59 Láng Hạ, Phường Thành Công, Quận Ba Đình, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH NAM DƯỢC TRIỆU NGỌC HÒA,0107358045,Hoàng Thị Ngọc," Thôn Yên Sơn, Xã Ba Vì, Huyện Ba Vì, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT THƯƠNG MẠI CÔNG M&AMP;T,0310778953-002,PHẠM XUÂN THẮNG," 197/50/10 Đường TL15, Khu phố 3, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH CÔNG NGHỆ SINH HỌC VIỆT LINH,0309299917-001,Cao Tùng Hiếu," 815/4/3/10 Hương Lộ 2, khu phố 8, Phường Bình Trị Đông A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT DƯỢC SONG VÂN,0301497931-001,Lê Trí Hưng," 274 đường Hồ Văn Tắng, Xã Tân Phú Trung, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM NAM VIỆT,0301447641,ĐINH THỊ GHI," 70 Thành Công, Phường Tân Thành, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH ĐẦU TƯ KIM VƯỢNG PHÁT,0901032261,Phạm Thị Ngọc Kim," Thôn Bằng Nha, Xã Bình Minh, Huyện Khoái Châu , Tỉnh Hưng Yên, Việt Nam"
CHI NHÁNH CÔNG TY TNHH DƯỢC PHẨM SÀI GÒN TẠI TỈNH BÌNH DƯƠNG,0301266187-003,PHẠM ANH DŨNG," Số 27 VSIP, đường số 6, khu công nghiệp Việt Nam - Singapore, Phường An Phú, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ THÀNH AN HB,5400491626,Đinh Minh Tâm," Thôn Chợ Đập, Xã An Bình, Huyện Lạc Thuỷ, Tỉnh Hòa Bình, Việt Nam"
CHI NHÁNH CÔNG TY TNHH TA VI NA - XƯỞNG SẢN XUẤT,0304393419-001,Trần Văn Thuận," 153/20/13/3 đường Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU ĐẶNG NGUYÊN ĐƯỜNG,0309142634-001,ĐẶNG CÔNG TRƯỜNG," Tổ 5, ấp Bình Tân, Xã Xuân Phú, Huyện Xuân Lộc, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY TNHH SẢN XUẤT DƯỢC MỸ PHẨM MỘC LINH NATURAL,3603466646,Nguyễn Thị Kim," Khối 1, Thị Trấn Tân Kỳ, Huyện Tân Kỳ, Tỉnh Nghệ An, Việt Nam"
CÔNG TY CỔ PHẦN ỨNG DỤNG KHOA HỌC Y HỌC VIỆT NAM,3301567447,Hoàng Bá Thiên Chương," C14, Cao Xuân Dục, Phường Vỹ Dạ, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam"
CHI NHÁNH CÔNG TY CP DƯỢC MINH HẢI - QUẦY THUỐC SỐ 10 CÀ MAU,2000100368-075,NGUYỄN THỊ TRANG," Số 138A, đường Lý Thường Kiệt, Phường 6, Thành phố Cà Mau, Tỉnh Cà Mau, Việt Nam"
CHI NHÁNH CÔNG TY CP DƯỢC MINH HẢI - QUẦY THUỐC SỐ 1 ĐẦM DƠI,2000100368-089,HUỲNH MỸ THỐ," Khóm 4, Thị Trấn Đầm Dơi, Huyện Đầm Dơi, Tỉnh Cà Mau, Việt Nam"
CHI NHÁNH CÔNG TY CP DƯỢC MINH HẢI - QUẦY THUỐC SỐ 9 SÔNG ĐỐC,2000100368-092,NGUYỄN TRƯỜNG HẬN," Khóm 8, Thị Trấn Sông Đốc, Huyện Trần Văn Thời, Tỉnh Cà Mau, Việt Nam"
CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO SMOST VIỆT NAM,0107639423,Trịnh Ngọc Huấn," Số 17/116, phố Yên Lạc, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY CP DƯỢC MINH HẢI - QUẦY THUỐC SỐ 5 CÁI KEO,2000100368-096,NGÔ THANH TRANG," Số 44, ấp Cái Keo, Xã Quách Phẩm, Huyện Đầm Dơi, Tỉnh Cà Mau, Việt Nam"
CHI NHÁNH XƯỞNG SẢN XUẤT CÔNG TY TNHH DƯỢC THỦY SẢN HÙNG HƯNG,0313959193-001,Diệp Văn Việt," Thửa đất số 6, Tờ bản đồ số 21, Ấp Chợ Cũ, Thị Trấn Hưng Lợi, Huyện Thạnh Trị, Tỉnh Sóc Trăng, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI RUBY,6300283864,VÕ VŨ ĐỨC," Số 08 ấp 4, Xã Lương Tâm, Huyện Long Mỹ, Tỉnh Hậu Giang, Việt Nam"
NHÀ MÁY DƯỢC APIMED - CHI NHÁNH CÔNG TY CỔ PHẦN DƯỢC APIMED,0313048183-001,Phạm Bảo Anh," Đường N1, Cụm Công nghiệp Phú Thạnh - Vĩnh Thanh, Xã Vĩnh Thanh, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY CỔ PHẦN Y DƯỢC HỌC CỔ TRUYỀN HÒA BÌNH,5400235559,ĐINH THỊ PHIỂN," Số 386, đường Trần Hưng Đạo, tổ 8, Phường Quỳnh Lâm, Thành phố Hoà Bình, Tỉnh Hòa Bình, Việt Nam"
CÔNG TY CỔ PHẦN PYMEPHARCO,4400116704,SAMOYLOVYCH ANDRIY," Số 166 - 170 Nguyễn Huệ, Phường 7, TP Tuy Hoà, Tỉnh Phú Yên, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN 120 ARMEPHACO,0106358934,NGUYỄN THỊ HƯƠNG," Số 118 Vũ Xuân Thiều, Phường Phúc Lợi, Quận Long Biên, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DƯỢC AN NGUYÊN,3603556152,Đặng Văn Huy," Số 01/18, Tổ 22, Khu phố 1, Phường Tân Hiệp, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY TNHH PHỤC VỤ SỨC KHỎE CARESS,0315074414,Trần Thanh Thông," Lô M8, 134/1 Đường Tô Hiến Thành, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Việt Nam"
TOSHIYUKI ISHII,1800156801,TOSHIYUKI ISHII," 288 Bis, Nguyễn Văn Cừ, Phường An Hòa, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam"
CÔNG TY TNHH MTV DƯỢC PHẨM HYO VIỆT NAM,0401907613,Đoàn Công Huy," 28 Dương Thanh, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam"
CÔNG TY TNHH ĐÔNG NAM DƯỢC BÀNG THÁI NHẤT,0314922478,Bàng Tiến Quân," Số 1/46/1B Đường Trục, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH TINH DẦU THẢO DƯỢC KHÁNH ĐAN,5200908253,ĐINH THỊ HUYỀN," Thôn Khe Cỏ, Xã An Thịnh, Huyện Văn Yên, Tỉnh Yên Bái, Việt Nam"
CÔNG TY CỔ PHẦN SẢN XUẤT THUỐC Y HỌC CỔ TRUYỀN PHƯỚC THỌ ĐƯỜNG,1800811270,VÕ VĂN PHƯỚC," 1/11A, Bùi Hữu Nghĩa, Phường Bình Thủy, Quận Bình Thuỷ, Thành phố Cần Thơ, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN DƯỢC PHẨM NAM TIẾN,0305468434,LƯU BÁ HUÂN ," 37 Lê Trung Nghĩa, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM VELLPHARM VIỆT NAM,2300240373,PUI HING SANG," Số 8, đường TS3, KCN Tiên Sơn, Xã Hoàn Sơn, Huyện Tiên Du, Tỉnh Bắc Ninh, Việt Nam"
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI DỊCH VỤ BẢO TÍN,3602733955,NGUYỄN ANH PHONG," 3/27, KP 2, Phường Tam Hòa, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY TNHH VẠN XUÂN,0302416702,PHAN VĂN HIỂN ," 231 Chiến lược, Khu phố 18, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM MINH DÂN,0600337774,NGUYỄN THẾ DŨNG ," Lô E2 đường N4 khu Công nghiệp Hòa Xá, Phường Lộc Hoà, Thành phố Nam Định, Tỉnh Nam Định, Việt Nam"
CÔNG TY CỔ PHẦN ESSEN PHARMA,2500689663,NGUYỄN TIẾN LỊCH," Thôn Láng, Thị trấn Kim Long, Huyện Tam Dương, Tỉnh Vĩnh Phúc, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM BÁCH KHANG,0309465755,NGUYỄN VĂN TÙNG," 17 đường 783A Tạ Quang Bửu, Phường 4, Quận 8, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM QUẬN 10,0301416548,LÝ BÁ MIÊN ," 334-336 Ngô Gia Tự, Phường 04, Quận 10, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH DƯỢC PHÚC THÁI,0103906607,ĐINH QUANG HÒA," Lô số Cn10, khu công nghiệp Phú Nghĩa, Xã Phú Nghĩa, Huyện Chương Mỹ, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH NIPRO PHARMA VIỆT NAM,0201255784,KAZUYA ASARI," Lô đất số IN1-4A và IN1-4B, Khu đô thị, công nghiệp và dịch vụ VSIP Hải Phòng, thuộc khu kinh tế Đình Vũ - Cát Hải, Xã An Lư, Huyện Thuỷ Nguyên, Thành phố Hải Phòng, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM BIDIPHAR 1,4100708393,PHẠM THỊ THANH HƯƠNG," Số 498 đường Nguyễn Thái Học, Phường Quang Trung, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN Y.S.P VIỆT NAM,3600925891,"LEE, FANG-HSIN "," Đường số 6, KCN Nhơn Trạch III - Giai đoạn II, Xã Long Thọ, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO HỒNG PHÚC,0600379661,VŨ QUANG THÀNH," Thôn Trình Xuyên, Xã Liên Bảo, Huyện Vụ Bản, Tỉnh Nam Định, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM ĐỨC VIỆT,0309561353,BÙI HOÀNG LỢI," 262 Nghĩa Phát, Phường 6, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LINH,0400386171,Lê Thành Thủy Tiên," Lô 32 KCN Đà Nẵng, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT NGUYÊN VIỆT THẮNG,0304191613,NGUYỄN LÊ VIỆT ," F12/2 Ấp 6, Xã Lê Minh Xuân, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN HẠC GIẤY GIA LAI,5901139542,ĐÀO DUY HIỆP," 189 đường 17/3, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai, Việt Nam"
CHI NHÁNH CÔNG TY TNHH DƯỢC PHẨM VĨNH XUÂN,0303972526-001,PHẠM ĐỨC TIẾN ," 31 Tân Thới Nhất 18, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH CHUYÊN THIÊN NHIÊN,0303950184,CHÂU PHƯỚC MINH ," Số 38 Đường 13, Phường An Phú, Quận 2, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT THUỐC THÚ Y AL BA,0311113944,ĐỖ MẠNH THƯỜNG ," 55 Đường số 6, Khu phố 10, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH NO BEN,0304210513,LÊ VĂN KHÁNH ," 228/9 Nguyễn Thị Lắng, Tổ 5, ấp Phú Lợi , Xã Tân Phú Trung, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI DƯỢC THẢO NABI,0317545468,PHẠM TRÍ LÂM," Nhà số 120B, Đường Bến Vân Đồn, Phường 09, Quận 4, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN MEDCEN,1101972250,TRẦN NGỌC ẨN," Lô F10 đường số 6 Khu Công nghiệp Hòa Bình, Xã Nhị Thành, Huyện Thủ Thừa, Tỉnh Long An, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM TỒN SANH ĐƯỜNG,0313061071,PHAN THỊ NI NI," 389/2C Lê Văn Lương, ấp 2, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI ĐẶNG NGUYÊN ĐƯỜNG,0314404194,ĐẶNG CÔNG TRƯỜNG," 240 Bạch Đằng, Phường 24, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH UNCANCER,0314218286,NGUYỄN THỊ NHƯ Ý," 210/17 Đường Hoàng Diệu 2, Khu Phố 5, Phường Linh Chiểu, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
DOANH NGHIỆP TƯ NHÂN HÀ LINH TUẤN,5200808072,BÙI THỊ THUẬN," Thôn Tân Tiến 2, Xã Xuân Ái, Huyện Văn Yên, Tỉnh Yên Bái, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC PHẨM PHARMATOPES,0901007787,PHẠM VĂN KHIẾT," Thôn Hành Lạc, Thị Trấn Như Quỳnh, Huyện Văn Lâm, Tỉnh Hưng Yên, Việt Nam"
CÔNG TY CỔ PHẦN MEDITUS,0313871830,HUỲNH PHƯỚC THỌ," Lầu 1, Nhà A8, Khu Nhà ở thương mại số 319, Lý Thường Kiệt, Phường 15, Quận 11, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH HỌC KHANG AN CỬU LONG - CHI NHÁNH AN GIANG,1801604012-001,TRẦN THỊ BÉ NGỌC," Tổ 3, ấp An Hòa, Xã An Hảo, Huyện Tịnh Biên, Tỉnh An Giang, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC LIỆU VIỆT NAM - CHI NHÁNH PHÚ THỌ,0105196582-002,HÀ DUY LƯỢNG," Khu 8, Xã Phù Ninh, Huyện Phù Ninh, Tỉnh Phú Thọ, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XUẤT KHẨU HN,5200890581,TRẦN THỊ YẾN," Thôn Đức Tiến, Xã Đông An, Huyện Văn Yên, Tỉnh Yên Bái, Việt Nam"
CÔNG TY TNHH CÔNG NGHỆ DƯỢC GA LE NI KA,3702021581,HUỲNH THỊ SỰ," Lô 33D, 22 VSIP đường số 3, KCN Việt Nam - Singapore, Phường Bình Hòa, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam"
CHI NHÁNH ĐỒNG NAI - CÔNG TY TNHH THUỐC THÚ Y SA FA - VE DIC ,3700781587-001,NGUYỄN NGỌC TÚ ," Số 373, ấp 4, Xã Sông Trầu, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN VIMEDIMEX TÂY NINH,3900446850,DƯƠNG THỊ HUÊ," Thửa đất số 475, tờ bản đồ số 36, ấp An Phú, Xã An Tịnh, Thị xã Trảng Bàng, Tỉnh Tây Ninh, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM SINOPHARM VIỆT NAM,0105047196,CẢNH TÁC THÀNH," Khu Công nghiệp Công nghệ cao, Khu Công nghiệp Hòa Lạc, Xã Thạch Hoà, Huyện Thạch Thất, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI DƯỢC BẢO AN,1101835409,ĐỖ VĂN DUY," Ấp Bình Tiền 2 , Xã Đức Hòa Hạ, Huyện Đức Hoà, Tỉnh Long An, Việt Nam"
CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ ĐÔNG NAM DƯỢC,0107337905,NGUYỄN VĂN CƯỜNG," Tầng 2, tòa 27A2,khu nhà ở cao tầng CT2, 234 Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam"
